CPU型号,CPU频率,RAM容量,ROM容量,上市日期,上市时间,主屏分辨率,主屏尺寸,前置摄像头,后置摄像头,屏幕像素密度,屏幕占比,屏幕类型,手机名称,手机重量,核心数,电商报价,电池容量,窄边框,网友打分,解锁方式
联发科 MT6735更多联发科 MT6735手机>，手机性能排行>,-1,1GB,16GB,1,"<span id=""newPmVal_0""><a href=""/cell_phone_index/subcate57_list_p29495_1.html"">2016年06月&gt;</a></span>",800x480像素>720P普清（击败%手机）,4.0,30,500,233,58.29,-1,21克M2S（移动4G）,129.0,四核>,499,2000,4.86,7.3分,-1
高通 骁龙410（MSM8916）更多高通 骁龙410（MSM8916）手机>，手机性能排行>,1.2GHz>,2GB,32GB,1,"<span id=""newPmVal_0""><a href=""/cell_phone_index/subcate57_list_p28823_1.html"">2016年03月&gt;</a></span>",1280x720像素>720P普清（击败28.45%手机）,4.7,200,800,312,63.7,-1,21克M3（全网通）,133.0,四核>,-1,2400,4.63,6.3分,-1
联发科 MT6571手机性能排行>,1.3GHz>,512MB,4GB/8GB,-1,"<span id=""newPmVal_0""><a href=""/cell_phone_index/subcate57_list_p28828_1.html"">2015年02月&gt;</a></span>",800x480像素>720P普清（击败%手机）,4.0,-1,500,233,57.83,-1,21克M2C（移动3G）,130.0,双核>,-1,2000,5.11,7.1分,-1
-1,-1,,,1,"<span id=""newPmVal_0""><a href=""/cell_phone_index/subcate57_list_p28824_1.html"">2016年04月&gt;</a></span>",340x320像素720P普清（击败%手机）,2.4,-1,-1,195,28.47,-1,21克C1,88.6,单核>,-1,-1,3.75,8.0分,-1
联发科 MT6261手机性能排行>,260MHz,,,-1,"<span id=""newPmVal_0""><a href=""/cell_phone_index/subcate57_list_p28833_1.html"">2015年07月&gt;</a></span>",320x240像素720P普清（击败%手机）,2.31,-1,-1,173,-1.0,-1,21克F1,109.0,单核>,259,2600,-1.0,6.3分,-1
-1,-1,,,-1,"<span id=""newPmVal_0""><a href=""/cell_phone_index/subcate57_list_s6132_1.html"">2015年&gt;</a></span>",480x320像素>720P普清（击败%手机）,3.5,-1,30,165,50.6,-1,21克MC001S（标准版）,121.0,-1,-1,1400,6.09,-1,-1
高通 骁龙710游戏运行完美(击败60%手机)更多高通 骁龙710手机>，手机性能排行>,-1,6GB,64GB/128GB,6,"<span id=""newPmVal_0"">2018年08月</span>",2160x1080像素1080P高清（击败88.77%手机）,5.99,1600,1200,403,86.0,全面屏（常规全面屏）,360 手机N7 Pro（全网通）,182.0,八核>,2019,4000,2.93,7.5分,后置指纹识别>
高通 骁龙660游戏体验 轻掉帧(击败55%手机)更多高通 骁龙660手机>，手机性能排行>,2.2GHz（大四核），1.8GHz（小四核）,6GB,64GB/128GB,-1,"<span id=""newPmVal_0""><a href=""/cell_phone_index/subcate57_list_s7500_1.html"">2018年&gt;</a></span>",2160x1080像素1080P高清（击败88.77%手机）,5.99,800,1600,403,78.98,-1,360 手机N7（6GB RAM/全网通）,190.0,八核>,1549,5030,3.58,5.5分,后置指纹识别>
高通 骁龙630游戏体验 重掉帧(击败35%手机)更多高通 骁龙630手机>，手机性能排行>,2.2GHz>,4GB,64GB,4,"<span id=""newPmVal_0"">2017年12月14日</span>",2160x1080像素1080P高清（击败88.77%手机）,5.93,800,1300,407,75.77,-1,360 手机N6（4GB RAM/全网通）,186.0,八核>,1699,5030,4.27,5.6分,后置指纹识别>
高通 骁龙653（MSM8976 Pro）游戏体验 轻掉帧(击败55%手机)更多高通 骁龙653（MSM8976 Pro）手机>，手机性能排行>,1.8GHz（大四核），1.4GHz（小四核）,6GB,32GB/64GB,3,"<span id=""newPmVal_0"">2017年02月27日</span>",1920x1080像素>1080P高清（击败88.77%手机）,5.5,800,1300,401,72.19,-1,360 手机N5（全网通）,156.0,八核>,1159,4000,3.76,7.5分,后置指纹识别>
高通 骁龙710更多高通 骁龙710手机>，手机性能排行>,2.2GHz>,6GB,128GB,6,"<span id=""newPmVal_0"">2018年08月</span>",2160x1080像素1080P高清（击败88.77%手机）,5.99,1600,1200,403,86.0,-1,360 手机N7 Pro红衣版（全网通）,182.0,八核>,-1,4000,2.93,7.2分,后置指纹识别>
高通 骁龙653（MSM8976 Pro）更多高通 骁龙653（MSM8976 Pro）手机>，手机性能排行>,2.0Hz（大四核），1.4GHz（小四核）,6GB,64GB/128GB/32GB,3,"<span id=""newPmVal_0""><a href=""/cell_phone_index/subcate57_list_p30608_1.html"">2017年05月&gt;</a></span>",1920x1080像素>1080P高清（击败88.77%手机）,5.5,1300,1300,401,70.65,-1,360 手机N5S（全网通）,170.0,八核>,1599,3730,4.21,5.0分,后置指纹识别>
