型号,价格,热度,评分
OPPO Reno 10倍变焦版（8GB/256GB/全网通）,￥4799,100%,9.4分
OPPO K3（6GB/64GB/全网通）,￥1599,82%,7.5分
OPPO Reno（8GB RAM/全网通）,￥3599,36%,9.5分
OPPO R17（8GB RAM/全网通）,￥2699,22%,9.3分
OPPO A9（6GB/128GB/全网通）,￥1699,18%,9.3分
OPPO Reno 10倍变焦版（6GB/128GB/全网通）,￥3999,16%,9.4分
OPPO A5（4GB RAM/全网通）,￥1399,12%,8.6分
OPPO K1（4GB RAM/全网通）,￥1399,11%,9.2分
OPPO Find X（标准版/全网通）,￥4999,10%,9.4分
OPPO R15（6GB RAM/全网通）,￥2399,10%,9.1分
OPPO Reno（6GB RAM/全网通）,￥2999,9%,9.5分
OPPO A7x（全网通）,￥1600,9%,8.6分
OPPO R17 Pro（6GB RAM/全网通）,￥3299,9%,9.2分
OPPO R15x （全网通）,￥2299,8%,9.3分
OPPO A7（4GB RAM/全网通）,￥1499,8%,8.8分
OPPO Reno 10倍变焦版（6GB/256GB/全网通）,￥4499,7%,9.4分
OPPO A3（全网通）,￥1599,5%,8.8分
OPPO R9（全网通）,￥2499,3%,7.8分
OPPO R9s（全网通）,￥2499,3%,8.2分
OPPO R11（标准版/全网通）,￥2399,2%,9.1分
OPPO A1（3GB RAM/全网通）,￥1000,2%,7.3分
OPPO R11s（4GB RAM/全网通）,￥2299,2%,9.2分
OPPO A57（全网通）,￥799,2%,7.6分
OPPO A7n,即将上市,1%,无评分，去点评 >
OPPO R19（全网通）,概念产品,1%,无评分，去点评 >
OPPO A9x（6GB/128GB/全网通）,￥1999,1%,7.8分
OPPO R9s Plus（全网通）,￥3199,1%,8.1分
OPPO A83 (全网通),￥1199,1%,5.8分
OPPO R9 Plus（全网通）,￥2779,1%,8.1分
OPPO A59s（全网通）,￥1799,1%,7.7分
OPPO K1（6GB RAM/全网通）,￥1599,1%,9.2分
OPPO R15梦镜版（梦境红/全网通）,￥2999,1%,9.2分
OPPO A7x（移动全网通）,￥1600,1%,8.6分
OPPO Find X兰博基尼版（全网通）,￥9999,1%,9.6分
OPPO A73（全网通）,￥1499,1%,8.4分
OPPO R17（6GB RAM/全网通）,￥2599,1%,9.3分
OPPO A79（全网通）,￥1699,1%,8.7分
OPPO Reno （5G版/全网通）,概念产品,1%,无评分，去点评 >
OPPO R9sk（全网通）,￥2599,0%,8.2分
OPPO A77（4GB RAM/全网通）,￥1418,0%,6.9分
OPPO A59（全网通）,￥1799,0%,7.9分
OPPO R15星云特别版（全网通）,￥2699,0%,7.4分
OPPO F11 Pro（全网通）,概念产品,0%,8.0分
OPPO A5（3GB RAM/全网通）,￥1199,0%,8.6分
OPPO Find Z（全网通）,概念产品,0%,8.0分
OPPO R15梦镜版（陶瓷黑/梦境紫/全网通）,￥3299,0%,9.2分
OPPO Reno Z（全网通）,概念产品,0%,无评分，去点评 >
OPPO R17（8GB RAM/移动全网通）,￥2699,0%,9.3分
OPPO Find X（超级闪充版/全网通）,￥5499,0%,9.4分
OPPO R17 Pro（8GB RAM/全网通）,￥4299,0%,9.2分
