型号,价格,热度,评分
vivo X27（8GB RAM/骁龙710/全网通）,￥3598,100%,9.4分
vivo X27 Pro（8GB RAM/全网通）,￥3998,28%,9.4分
vivo iQOO（8GB RAM/全网通）,￥3298,21%,9.4分
vivo Z3（4GB RAM/全网通）,￥1348,18%,9.1分
vivo S1 Pro（6GB/256GB/全网通）,￥2698,14%,9.0分
vivo X23（全网通）,￥3198,13%,9.4分
vivo S1（全网通）,￥2298,12%,6.7分
vivo Y93（4GB RAM/全网通）,￥1500,11%,6.7分
vivo X21（全网通）,￥2498,9%,9.1分
vivo X27（8GB RAM/骁龙675/全网通）,￥3198,9%,9.4分
vivo APEX 2019（全网通）,即将上市,8%,7.8分
vivo Y97（4GB RAM/全网通）,￥1898,7%,8.8分
vivo NEX双屏版（10GB RAM/全网通）,￥4998,6%,9.5分
vivo X23幻彩版（6GB RAM/全网通）,￥2798,6%,7.5分
vivo iQOO（6GB RAM/全网通）,￥2998,5%,9.4分
vivo Y93s（全网通）,￥1500,4%,7.1分
vivo S1 Pro（8GB/128GB/全网通）,￥2698,4%,9.0分
vivo Z1（4GB RAM/全网通）,￥1398,4%,8.9分
vivo Y3（4GB/128GB/全网通）,￥1498,4%,6.1分
vivo X20（全网通）,￥1998,4%,9.2分
vivo NEX旗舰版（全网通）,￥4298,3%,9.3分
vivo Z3X（4GB/64GB/全网通）,￥1198,3%,7.7分
vivo Y91（全网通）,￥1000,3%,8.0分
vivo Y85（全网通）,￥1098,3%,8.2分
vivo iQOO（12GB RAM/全网通）,￥4298,3%,9.4分
vivo U1（3GB RAM/全网通）,￥799,3%,7.7分
vivo Z3（6GB RAM/全网通）,￥1598,2%,9.1分
vivo iQOO（12GB/128GB/全网通）,￥3698,2%,9.4分
vivo Z5（全网通）,概念产品,2%,7.4分
vivo Y67（全网通）,￥1098,2%,6.4分
vivo Y71（3GB RAM/全网通）,￥1000,2%,8.2分
vivo Z5x（4GB/64GB/全网通）,￥1398,1%,无评分，去点评 >
vivo Y81s（全网通）,￥1000,1%,6.6分
vivo X21s（全网通）,￥2598,1%,7.4分
vivo Y55（全网通）,￥999,1%,6.3分
vivo Y79（全网通）,￥1598,1%,5.9分
vivo Y75（3GB RAM/全网通）,￥1298,1%,7.5分
vivo X21i（4GB RAM/全网通）,￥2398,1%,6.6分
vivo NEX（6GB RAM/全网通）,￥3698,1%,9.3分
vivo X20Plus（全网通）,￥3198,1%,9.1分
vivo Z1青春版（全网通）,￥999,1%,7.2分
vivo U1（4GB RAM/全网通）,￥1099,0%,7.7分
vivo Z1i（4GB RAM/全网通）,￥1898,0%,6.8分
vivo Y66i（全网通）,￥1198,0%,6.4分
vivo Y97（6GB RAM/全网通）,￥2098,0%,8.8分
vivo V15 Pro（全网通）,概念产品,0%,无评分，去点评 >
vivo Y93（3GB RAM/全网通）,￥1300,0%,6.7分
vivo Y73（3GB RAM/全网通）,￥799,0%,5.4分
vivo Y95（全网通）,即将上市,0%,3.2分
vivo X20Plus屏幕指纹版（全网通）,￥3598,0%,6.0分
