型号,价格,热度,评分
三星Galaxy S10（全网通）,￥5999,100%,7.3分
三星GALAXY A60（6GB/64GB/全网通）,￥1499,72%,7.9分
三星Galaxy S10+（8GB RAM/陶瓷版/全网通）,￥8699,55%,8.6分
三星Galaxy A8s（6GB RAM/全网通）,￥2399,38%,7.7分
三星Galaxy S10+（8GB RAM/玻璃版/全网通）,￥6999,25%,8.6分
三星Galaxy S10（5G版/全网通）,概念产品,25%,无评分，去点评 >
三星GALAXY S8（G9500/双卡版/全网通）,￥2899,20%,8.9分
三星Galaxy Fold（全网通）,￥1.9万,19%,5.4分
三星Galaxy S10e（6GB RAM/全网通）,￥4999,18%,7.0分
三星GALAXY Note 9（6GB RAM/全网通）,￥5999,18%,8.8分
三星GALAXY Note 10（全网通）,概念产品,16%,5.2分
三星GALAXY A70（6GB/128GB/全网通）,￥2499,16%,7.0分
三星GALAXY S9（全网通）,￥3999,15%,8.4分
三星GALAXY A60（6GB/128GB/全网通）,￥1999,14%,7.9分
三星Galaxy S10+（12GB RAM/陶瓷版/全网通）,概念产品,13%,8.6分
三星Galaxy A9s（6GB RAM/全网通）,￥2499,12%,8.6分
三星GALAXY Note 8（N9500/全网通）,￥4599,11%,8.8分
三星GALAXY A40S（6GB/64GB/全网通）,￥1499,11%,7.6分
三星GALAXY S9+（全网通）,￥4499,10%,8.4分
三星GALAXY S8+（G9550/双卡版/全网通）,￥3166,10%,8.3分
三星GALAXY A6s（全网通）,￥1499,9%,7.5分
三星GALAXY A70（8GB RAM/128GB/全网通）,￥2799,7%,7.0分
三星GALAXY S7 Edge（G9350/全网通）,￥2599,7%,9.1分
三星Galaxy S10e（8GB RAM/全网通）,￥6999,6%,7.0分
三星GALAXY A80（8GB RAM/全网通）,概念产品,6%,6.8分
三星W2019（全网通）,￥9348,5%,3.2分
三星Galaxy A9 Star（全网通）,￥1558,5%,7.4分
三星GALAXY C7（C7000/全网通）,￥1399,2%,7.9分
三星2016版GALAXY A9（A9000/全网通）,￥1488,2%,7.3分
三星GALAXY Note 9（8GB RAM/全网通）,￥6998,2%,8.8分
三星W2018（全网通）,￥7258,2%,5.1分
三星GALAXY S8（G9508/移动4G）,￥3499,2%,8.9分
三星GALAXY C5（C5000/全网通）,￥1299,2%,7.9分
三星GALAXY C9 Pro（C9000/全网通）,￥2199,2%,8.7分
三星W2017（电信4G）,￥8350,1%,6.3分
三星W2019尊铂典藏版（全网通）,￥1.25万,1%,3.2分
三星Galaxy M30（全网通）,概念产品,1%,无评分，去点评 >
三星领世旗舰8（双4G）,￥8666,1%,6.7分
三星2016版GALAXY A7（A7100/全网通）,￥1050,1%,5.4分
三星W2018典藏尊铂版（全网通）,￥7258,1%,5.1分
三星GALAXY C7 Pro（C7010/全网通）,￥1599,1%,8.6分
三星Galaxy A8s（8GB RAM/全网通）,￥2749,1%,7.7分
三星W2016（电信4G）,￥4399,1%,6.7分
三星Galaxy Folder2 （G1650/全网通）,￥1299,1%,7.5分
三星GALAXY C8（4GB RAM/全网通）,￥1366,1%,5.2分
三星Galaxy A8s独角精灵版（全网通）,￥2449,1%,7.4分
三星GALAXY Note 8（N9508/移动4G）,￥3699,1%,8.8分
三星GALAXY C5 Pro（C5010/全网通）,￥1999,1%,8.1分
三星2018版GALAXY A9（全网通）,即将上市,1%,6.4分
三星Galaxy A9 Star Lite（全网通）,￥1499,1%,6.0分
