型号,价格,热度,评分
荣耀20（8GB/128GB/全网通）,即将上市,100%,7.5分
联想Z6 青春版（6GB/128GB/全网通）,￥1699,56%,8.0分
一加7 Pro（12GB/256GB/全网通）,￥4999,0%,9.2分
OPPO Reno（8GB RAM/全网通）,￥3599,0%,9.5分
一加7（8GB/256GB/全网通）,￥2999,0%,7.4分
华为P30（8GB RAM/全网通）,￥3988,0%,7.7分
vivo X27（8GB RAM/骁龙710/全网通）,￥3598,0%,9.4分
8848 钛金手机M5（巅峰版/全网通）,￥1.7万,0%,7.2分
苹果iPhone 7 Plus（特别版/全网通）,￥3199,0%,8.1分
索尼Xperia XZ1（双4G）,￥3999,0%,6.2分
三星GALAXY S8（G9508/移动4G）,￥3499,0%,8.9分
努比亚Z17 miniS（全网通）,￥1198,0%,4.1分
魅族魅蓝E（全网通）,￥699,0%,7.8分
美图V7（全网通）,￥3999,0%,7.3分
海信双屏手机A6（全网通）,￥3499,0%,6.6分
华为畅享7（SLA-AL00/2GB RAM/全网通）,￥589,0%,4.5分
黑鲨游戏手机2（8GB RAM/全网通）,￥3199,0%,7.1分
魅族魅蓝Note 3（移动4G）,￥799,0%,8.0分
OPPO R15梦镜版（陶瓷黑/梦境紫/全网通）,￥3299,0%,9.2分
华为Mate 10保时捷版（全网通）,￥5449,0%,8.6分
荣耀畅玩7A（2GB RAM/全网通）,￥699,0%,7.0分
vivo Y73（3GB RAM/全网通）,￥799,0%,5.4分
OPPO Find Z（全网通）,概念产品,0%,8.0分
夏普AQUOS R（移动4G）,即将上市,0%,8.1分
诺基亚7（4GB RAM/全网通）,￥1199,0%,7.0分
金立M7（全网通）,￥1499,0%,8.1分
三星W2018（全网通）,￥7258,0%,5.1分
努比亚Z18（6GB RAM/全网通）,￥2458,0%,5.3分
联想Z6 Pro（12GB/512GB/全网通）,￥4999,0%,7.7分
华为nova 3i（6GB RAM/全网通）,￥2199,0%,7.4分
华为Mate 10（6GB RAM/全网通）,￥3999,0%,8.6分
三星GALAXY Note 9（8GB RAM/全网通）,￥6998,0%,8.8分
美图T8（全网通）,￥1299,0%,8.3分
小米8（8GB RAM/全网通）,￥2699,0%,5.3分
OPPO A5（3GB RAM/全网通）,￥1199,0%,8.6分
魅族PRO 6s（全网通）,￥1799,0%,7.1分
小米8青春版（6GB RAM/全网通）,￥1499,0%,6.4分
小米红米Note 5（6GB RAM/全网通）,￥1599,0%,5.6分
vivo Y93（3GB RAM/全网通）,￥1300,0%,6.7分
一加3（全网通）,￥2499,0%,8.3分
魅族X8（6GB RAM/全网通）,￥1498,0%,8.9分
诺基亚7 Plus（4GB RAM/全网通）,￥1399,0%,5.7分
小米6X（6GB RAM/全网通）,￥1299,0%,5.8分
努比亚Z17 mini（6GB RAM/全网通）,￥999,0%,7.0分
荣耀畅玩5（CUN-TL00/移动4G）,￥548,0%,5.1分
荣耀畅玩6（2GB RAM/全网通）,￥599,0%,3.9分
三星W2017（电信4G）,￥8350,0%,6.3分
LG G6（双4G）,￥3999,0%,6.7分
vivo X20Plus屏幕指纹版（全网通）,￥3598,0%,6.0分
金立M6（全网通）,￥1399,0%,7.9分
