型号,价格,热度,评分
华为P30 Pro（全网通）,￥5488,100%,9.6分
华为P30（8GB RAM/全网通）,￥3988,55%,7.7分
华为Mate X（全网通）,即将上市,29%,7.3分
华为Mate 20 Pro（6GB RAM/全网通）,￥4899,28%,9.3分
华为nova 4e（6GB RAM/全网通）,￥2299,20%,9.3分
华为Mate 20（全网通）,￥3499,19%,9.4分
华为nova 4（标配版/全网通）,￥2899,17%,9.3分
华为P20（全网通）,￥3388,11%,8.3分
华为Mate 20 Pro（8GB RAM/全网通）,￥5499,11%,9.3分
华为畅享9（3GB RAM/全网通）,￥999,9%,7.2分
华为畅享9 Plus（4GB RAM/全网通）,￥1499,9%,7.7分
华为P20 Pro（6GB RAM/全网通）,￥4488,7%,8.3分
华为Mate 20 X（6GB RAM/全网通）,￥4499,7%,9.9分
华为nova 4e（4GB RAM/全网通）,￥1999,6%,9.3分
华为Mate 30（全网通）,概念产品,6%,7.8分
华为Mate30 Pro,概念产品,6%,7.5分
华为nova 3（全网通）,￥2799,5%,6.9分
华为P10（VTR-AL00/全网通）,￥3488,4%,7.3分
华为Mate 10（4GB RAM/全网通）,￥3399,4%,8.6分
华为畅享9S（4GB RAM/全网通）,￥1499,4%,8.0分
华为nova 2s（4GB RAM/全网通）,￥1599,4%,7.7分
华为nova 3i（4GB RAM/全网通）,￥1899,3%,7.4分
华为nova 4（高配版/全网通）,￥3399,3%,9.3分
华为P30（6GB RAM/全网通）,即将上市,3%,7.7分
华为Mate 10 Pro（全网通）,￥3599,3%,8.9分
华为畅享9e（全网通）,￥999,3%,8.0分
华为Mate 20 X（8GB RAM/全网通）,￥5499,3%,9.9分
华为畅享8（3GB RAM/全网通）,￥833,2%,6.4分
华为P10 Plus（VKY-AL00/6GB RAM全网通）,￥1878,2%,7.5分
华为畅享9（4GB RAM/全网通）,￥1199,2%,7.2分
华为畅享MAX（全网通）,￥1699,2%,7.2分
华为nova 3e（全网通）,￥1298,2%,8.8分
华为麦芒7（全网通）,￥2199,2%,6.3分
华为畅享8 Plus（全网通）,￥1499,1%,5.9分
华为畅享9 Plus（6GB RAM/全网通）,￥1999,1%,7.7分
华为Mate 9 Pro（4GB RAM/全网通）,￥2299,1%,8.0分
华为畅享8e（全网通）,￥999,1%,5.3分
华为Mate 20 RS保时捷版（全网通）,￥1.3万,1%,9.9分
华为畅享7 Plus（TRT-AL00A/4GB RAM/全网通）,￥908,1%,7.3分
华为nova 2 Plus（BAC-AL00/全网通）,￥1198,1%,6.6分
华为P Smart Z（全网通）,概念产品,1%,无评分，去点评 >
华为畅享8e青春版（全网通）,￥799,1%,5.0分
华为nova 2（PIC-AL00/全网通）,￥1228,1%,8.0分
华为nova 2s（6GB RAM/全网通）,￥1399,1%,7.7分
华为畅享6S（DIG-AL00/全网通）,￥858,1%,5.9分
华为P Smart 2019（全网通）,概念产品,0%,无评分，去点评 >
华为P30 Lite（全网通）,概念产品,0%,无评分，去点评 >
华为Mate RS保时捷版（全网通）,￥9999,0%,6.1分
华为Y9 Prime（全网通）,即将上市,0%,无评分，去点评 >
华为P20 Pro（8GB RAM/全网通）,￥5288,0%,8.3分
