型号,价格,热度,评分
小米9（6GB RAM/全网通）,￥2899,100%,5.2分
小米红米K20（全网通）,概念产品,36%,7.8分
小米红米Note 7（3GB RAM/全网通）,￥999,32%,5.5分
小米红米Note 7 Pro（6GB RAM/全网通）,￥1564,30%,6.1分
小米8（6GB RAM/全网通）,￥2099,25%,5.3分
小米9 SE（全网通）,￥1999,21%,6.4分
小米9（8GB RAM/全网通）,￥3078,15%,5.2分
小米8 SE（4GB RAM/全网通）,￥1345,13%,5.9分
小米MIX 3（6GB RAM/全网通）,￥3299,11%,5.4分
小米8青春版（4GB RAM/全网通）,￥1138,10%,6.4分
小米MIX 2s（6GB RAM/全网通）,￥2199,9%,5.7分
小米6X（4GB RAM/全网通）,￥1599,9%,5.8分
小米红米7（4GB RAM/全网通）,￥899,8%,5.7分
小米9 透明尊享版（12GB RAM/全网通）,￥4888,8%,5.1分
小米红米Note 7（4GB RAM/全网通）,￥1299,7%,5.5分
小米MIX 4,概念产品,7%,无评分，去点评 >
小米MIX 3（5G版/全网通）,概念产品,7%,8.0分
小米Play（全网通）,￥1099,7%,5.3分
小米MIX 2（全网通）,￥1958,6%,5.5分
小米红米Note 7（6GB RAM/全网通）,￥1499,6%,5.5分
小米Max 3（4GB RAM/全网通）,￥1599,5%,5.5分
小米MIX 3（8GB RAM/全网通）,￥3599,4%,5.4分
小米红米Note 4X（3GB RAM/全网通）,￥828,4%,5.7分
小米红米6 Pro（3GB RAM/全网通）,￥899,4%,6.4分
小米红米Note 5（3GB RAM/全网通）,￥999,4%,5.6分
小米Max 2（全网通）,￥1379,3%,6.2分
小米6（移动4G）,￥2069,3%,6.1分
小米红米6（3GB RAM/全网通）,￥729,3%,5.3分
小米5X（全网通）,￥1188,3%,5.9分
小米红米5 Plus（3GB RAM/全网通）,￥799,3%,5.8分
小米红米6A（2GB RAM/全网通）,￥549,3%,6.0分
小米8屏幕指纹版（6GB RAM/全网通）,￥2499,3%,5.7分
小米MIX 3（故宫特别版/10GB RAM/全网通）,￥5899,2%,5.9分
小米Note 3（6GB RAM/全网通）,￥1699,2%,5.8分
小米8 SE（6GB RAM/全网通）,￥1299,2%,5.9分
小米红米4X（3GB RAM/全网通）,￥799,2%,5.8分
小米Note 3（4GB RAM/全网通）,￥1488,2%,5.8分
小米红米Note 7 Pro（4GB RAM/全网通）,即将上市,2%,6.1分
小米9 透明尊享版（8GB RAM/全网通）,￥3699,2%,5.1分
小米Note 2（高配版/全网通）,￥2088,2%,6.3分
小米Max 4（全网通）,概念产品,2%,7.6分
小米MIX（全网通）,￥2199,2%,5.5分
小米红米7（3GB RAM/全网通）,￥798,2%,5.7分
小米5S（高配版/全网通）,￥1238,2%,5.7分
小米红米6A（3GB RAM/全网通）,￥649,2%,6.0分
小米8透明探索版（全网通）,￥2799,2%,6.1分
小米7（全网通）,概念产品,2%,5.5分
小米5S plus（高配版/全网通）,￥2299,2%,6.1分
小米红米4A（全网通）,￥515,1%,5.3分
小米8（8GB RAM/全网通）,￥2699,1%,5.3分
