型号,价格,热度,评分
一加7 Pro（12GB/256GB/全网通）,￥4999,100%,9.2分
OPPO Reno 10倍变焦版（8GB/256GB/全网通）,￥4799,99%,9.4分
vivo X27（8GB RAM/骁龙710/全网通）,￥3598,99%,9.4分
华为P30 Pro（全网通）,￥5488,99%,9.6分
OPPO K3（6GB/64GB/全网通）,￥1599,81%,7.5分
苹果iPhone XR（全网通）,￥5399,64%,6.9分
华为P30（8GB RAM/全网通）,￥3988,54%,7.7分
魅族16s（8GB/128GB/全网通）,￥3498,42%,7.5分
realme X（8GB/128GB/全网通）,￥1799,42%,8.8分
苹果iPhone XS Max（全网通）,￥8399,37%,8.9分
小米9（6GB RAM/全网通）,￥2899,37%,5.2分
OPPO Reno（8GB RAM/全网通）,￥3599,36%,9.5分
荣耀V20（6GB RAM/全网通）,￥2799,36%,9.4分
一加7（8GB/256GB/全网通）,￥2999,33%,7.4分
荣耀20（6GB/128GB/全网通）,即将上市,31%,7.5分
华为Mate X（全网通）,即将上市,29%,7.3分
vivo X27 Pro（8GB RAM/全网通）,￥3998,28%,9.4分
华为Mate 20 Pro（6GB RAM/全网通）,￥4899,28%,9.3分
努比亚红魔3（6GB/64GB/全网通）,￥2899,26%,6.6分
三星Galaxy S10（全网通）,￥5999,24%,7.3分
苹果iPhone X（全网通）,￥5999,24%,8.4分
苹果iPhone XS（全网通）,￥7899,23%,6.4分
OPPO R17（8GB RAM/全网通）,￥2699,22%,9.3分
vivo iQOO（8GB RAM/全网通）,￥3298,21%,9.4分
华为nova 4e（6GB RAM/全网通）,￥2299,20%,9.3分
联想Z6 Pro（6GB/128GB/全网通）,￥2899,19%,7.7分
华为Mate 20（全网通）,￥3499,19%,9.4分
荣耀8X（4GB RAM/全网通）,￥1299,19%,8.5分
OPPO A9（6GB/128GB/全网通）,￥1699,18%,9.3分
vivo Z3（4GB RAM/全网通）,￥1348,18%,9.1分
三星GALAXY A60（6GB/64GB/全网通）,￥1499,18%,7.9分
华为nova 4（标配版/全网通）,￥2899,17%,9.3分
OPPO Reno 10倍变焦版（6GB/128GB/全网通）,￥3999,15%,9.4分
苹果iPhone 8 Plus（全网通）,￥4699,15%,8.7分
荣耀20i（6GB/64GB/全网通）,￥1599,15%,7.7分
一加6T（6GB RAM/全网通）,￥2999,14%,8.9分
vivo S1 Pro（6GB/256GB/全网通）,￥2698,14%,9.0分
三星Galaxy S10+（8GB RAM/陶瓷版/全网通）,￥8699,13%,8.6分
小米红米K20（全网通）,概念产品,13%,7.8分
vivo X23（全网通）,￥3198,13%,9.4分
苹果iPhone 8（全网通）,￥3799,12%,7.1分
vivo S1（全网通）,￥2298,12%,6.7分
小米红米Note 7（3GB RAM/全网通）,￥999,12%,5.5分
OPPO A5（4GB RAM/全网通）,￥1399,11%,8.6分
vivo Y93（4GB RAM/全网通）,￥1500,11%,6.7分
小米红米Note 7 Pro（6GB RAM/全网通）,￥1564,11%,6.1分
OPPO K1（4GB RAM/全网通）,￥1399,11%,9.2分
华为P20（全网通）,￥3388,11%,8.3分
苹果iPhone 7（全网通）,￥3099,11%,8.1分
苹果iPhone XI（全网通）,概念产品,11%,6.0分
