型号,价格,热度,评分
苹果iPhone XR（全网通）,￥5399,100%,6.9分
苹果iPhone XS Max（全网通）,￥8399,58%,8.9分
苹果iPhone X（全网通）,￥5999,37%,8.4分
苹果iPhone XS（全网通）,￥7899,36%,6.4分
苹果iPhone 8 Plus（全网通）,￥4699,24%,8.7分
苹果iPhone 8（全网通）,￥3799,19%,7.1分
苹果iPhone 7（全网通）,￥3099,17%,8.1分
苹果iPhone XI（全网通）,概念产品,17%,6.0分
苹果iPhone 7 Plus（全网通）,￥3599,15%,8.1分
苹果iPhone SE 2（全网通）,概念产品,6%,6.1分
苹果iPhone 11（全网通）,概念产品,6%,6.6分
苹果iPhone XS Max（国际版/全网通）,￥6038,5%,8.9分
苹果iPhone XR（国际版/全网通）,￥4999,5%,6.9分
苹果iPhone 8 Plus（国际版/全网通）,￥4399,3%,8.7分
苹果iPhone 8（国际版/全网通）,￥3899,3%,7.1分
苹果iPhone 2019（全网通）,概念产品,3%,8.0分
苹果iPhone 11 Plus（全网通）,概念产品,3%,6.9分
苹果iPhone XS（国际版/全网通）,￥7199,2%,6.4分
苹果iPhone XS Max（国际版/双4G）,￥8398,2%,8.9分
苹果iPhone XI Max（全网通）,概念产品,2%,6.4分
苹果iPhone 9（全网通）,概念产品,2%,6.4分
苹果iPhone 11R（全网通）,概念产品,1%,无评分，去点评 >
苹果iPhone x Fold（全网通）,概念产品,1%,6.4分
苹果iPhone 7 Plus（特别版/全网通）,￥3199,0%,8.1分
苹果iPhone X（国际版/全网通）,￥5999,0%,8.4分
苹果iPhone 7 Plus（国际版/全网通）,￥3199,0%,8.1分
苹果iPhone 7（双4G）,￥3699,0%,8.1分
苹果iPhone XR（国际版/双4G）,￥4899,0%,6.9分
苹果iPhone 7（国际版/全网通）,￥2800,0%,8.1分
苹果iPhone 8s（全网通）,概念产品,0%,6.2分
苹果iPhone 7（特别版/全网通）,￥3000,0%,8.1分
苹果iPhone X2（全网通）,概念产品,0%,7.4分
苹果iPhone X Plus（全网通）,概念产品,0%,5.8分
苹果iPhone 9 Plus（全网通）,概念产品,0%,8.0分
苹果iPhone X（双4G）,概念产品,0%,8.4分
苹果iPhone 8C（全网通）,概念产品,0%,无评分，去点评 >
苹果iPhone XS（国际版/双4G）,￥7500,0%,6.4分
苹果iPhone 9C（全网通）,概念产品,0%,7.5分
苹果iPhone 2018（全网通）,概念产品,0%,8.0分
苹果iPhone X2 Plus（全网通）,概念产品,0%,7.2分
