型号,价格,热度,评分
荣耀V20（6GB RAM/全网通）,￥2799,100%,9.4分
荣耀20（6GB/128GB/全网通）,即将上市,87%,7.5分
荣耀8X（4GB RAM/全网通）,￥1299,52%,8.5分
荣耀20i（6GB/64GB/全网通）,￥1599,41%,7.7分
荣耀20 Pro（8GB/256GB/全网通）,即将上市,30%,7.6分
荣耀10（全网通）,￥1899,25%,8.0分
荣耀10青春版（4GB RAM/全网通）,￥1299,18%,7.7分
荣耀Play（4GB RAM/全网通）,￥1599,17%,6.0分
荣耀V10（4GB RAM/全网通）,￥1758,16%,8.3分
荣耀Note10（6GB RAM/全网通）,￥2099,16%,8.9分
荣耀畅玩8C（全网通）,￥899,15%,8.2分
荣耀8X Max（4GB RAM/全网通）,￥1399,12%,7.7分
荣耀Magic 2（6GB RAM/全网通）,￥3499,11%,9.5分
荣耀V20（8GB RAM/全网通）,￥3299,11%,9.4分
荣耀9（4GB RAM/全网通）,￥1499,9%,8.0分
荣耀8X（6GB RAM/全网通）,￥1499,8%,8.5分
荣耀9i（全网通）,￥1219,8%,6.7分
荣耀畅玩7X（4GB RAM/全网通）,￥1099,6%,7.3分
荣耀20i（6GB/256GB/全网通/Aape特别版）,￥2199,6%,7.7分
荣耀畅玩8A（全网通）,￥799,6%,7.5分
荣耀20i（6GB/128GB/全网通）,￥2599,5%,7.7分
荣耀V9（DUK-AL20/6GB RAM/全网通）,￥2699,4%,7.6分
荣耀Play（6GB RAM/全网通）,￥1699,4%,6.0分
荣耀20i（4GB/128GB/全网通）,￥1599,4%,7.7分
荣耀9青春版（3GB RAM/全网通）,￥999,4%,7.7分
荣耀畅玩6X（BLN-AL10/4GB RAM/全网通）,￥728,4%,7.8分
荣耀9X（全网通）,概念产品,3%,7.0分
荣耀8青春版（PRA-AL00X/4GB RAM/全网通）,￥878,3%,7.6分
荣耀V10（6GB RAM/全网通）,￥2799,3%,8.3分
荣耀畅玩7C（3GB RAM/全网通）,￥899,3%,7.5分
荣耀20i（6GB/256GB/全网通）,￥2199,3%,7.7分
荣耀10青春版（6GB RAM/全网通）,￥1699,3%,7.7分
荣耀畅玩7（全网通）,￥599,2%,5.9分
荣耀Note8（EDI-AL10/全网通）,￥1599,2%,7.7分
荣耀畅玩5X（KIW-TL00/移动4G）,￥878,2%,7.3分
荣耀Magic（NTS-AL00/全网通）,￥2190,2%,7.6分
荣耀8X Max（6GB RAM/全网通）,￥1699,2%,7.7分
荣耀10 GT（全网通）,￥2699,2%,8.0分
荣耀V9 Play（4GB RAM/高配版/全网通）,￥899,2%,7.3分
荣耀Magic 2（8GB RAM/全网通）,￥3999,2%,9.5分
荣耀V20 MOSCHINO联名版（全网通）,￥3799,2%,9.4分
荣耀V9（DUK-AL20/4GB RAM/全网通）,￥2399,2%,7.6分
荣耀8（FRD-AL00/4GB RAM/全网通）,￥1299,1%,7.7分
荣耀9（6GB RAM/全网通）,￥1599,1%,8.0分
荣耀畅玩5A（CAM-AL00/全网通）,￥528,1%,6.4分
荣耀畅玩7A（2GB RAM/全网通）,￥699,1%,7.0分
荣耀畅玩5（CUN-TL00/移动4G）,￥548,1%,5.1分
荣耀Note10（8GB RAM/全网通）,￥2999,1%,8.9分
荣耀畅玩6（2GB RAM/全网通）,￥599,1%,3.9分
荣耀畅玩6A（DLI-AL10/高配版/全网通）,￥689,1%,6.2分
