型号,价格,热度,评分
魅族16s（8GB/128GB/全网通）,￥3498,100%,7.5分
魅族16th（6GB RAM/全网通）,￥2298,17%,8.8分
魅族16s（6GB RAM/全网通）,￥3198,12%,7.5分
魅族Note9（4GB RAM/全网通）,￥1328,11%,6.9分
魅族16 X（全网通）,￥1798,11%,6.9分
魅族X8（4GB RAM/全网通）,￥1268,6%,8.9分
魅族15（全网通）,￥1998,4%,5.5分
魅族魅蓝Note 6（3GB RAM/全网通）,￥699,4%,7.4分
魅族16th Plus（6GB RAM/全网通）,￥2898,4%,6.9分
魅族Note8（全网通）,￥949,4%,7.9分
魅族16s（8GB/256GB/全网通）,￥3998,3%,7.5分
魅族PRO 7（标准版/全网通）,￥1299,2%,7.2分
魅族魅蓝S6（3GB RAM/全网通）,￥999,2%,5.4分
魅族15 Plus（全网通）,￥1798,2%,6.4分
魅族PRO 6（全网通）,￥2299,2%,8.4分
魅族魅蓝5s（全网通）,￥799,2%,7.8分
魅族16Xs（全网通）,概念产品,2%,无评分，去点评 >
魅族PRO 7 Plus（标准版/全网通）,￥1799,1%,5.7分
魅族Note9（6GB RAM/全网通）,￥1349,1%,6.9分
魅族魅蓝E2（3GB RAM/全网通）,￥899,1%,6.7分
魅族PRO 6 Plus（双4G）,￥2699,1%,7.2分
魅族魅蓝Note 6（4GB RAM/全网通）,￥1299,1%,7.4分
魅族16th（8GB RAM/全网通）,￥2798,1%,8.8分
魅族V8（3GB RAM/全网通）,￥799,1%,2.8分
魅族PRO 6s（全网通）,￥1799,1%,7.1分
魅族魅蓝E（全网通）,￥699,1%,7.8分
魅族魅蓝Note 3（移动4G）,￥799,1%,8.0分
魅族X8（6GB RAM/全网通）,￥1498,1%,8.9分
魅族M15（全网通）,￥1398,1%,5.3分
魅族魅蓝3s（标准版/全网通）,￥699,1%,7.6分
魅族魅蓝6（3GB RAM/全网通）,￥799,1%,4.5分
魅族V8（4GB RAM/全网通）,￥898,0%,2.8分
魅族魅蓝A5（移动4G）,￥599,0%,4.3分
魅族魅蓝E3（全网通）,￥1799,0%,5.4分
魅族16th Plus（8GB RAM/全网通）,￥2798,0%,6.9分
魅族魅蓝E3（歼-20定制版/全网通）,￥1999,0%,5.4分
魅族魅蓝6（2GB RAM/全网通）,￥599,0%,4.5分
魅族魅蓝Note 9（全网通）,概念产品,0%,无评分，去点评 >
魅族魅蓝Max（全网通）,￥1699,0%,6.0分
魅族16s Plus（全网通）,概念产品,0%,6.5分
魅族16T（全网通）,概念产品,0%,8.0分
魅族魅蓝6T（3GB RAM/全网通）,￥799,0%,3.9分
魅族Zero（全网通）,即将上市,0%,7.1分
魅族魅蓝E2（4GB RAM/全网通）,￥1599,0%,6.7分
魅族MX6（3GB RAM/全网通）,￥780,0%,7.9分
魅族魅蓝3s（高配版/全网通）,￥899,0%,7.6分
魅族17,概念产品,0%,无评分，去点评 >
魅族魅蓝A5（双4G）,￥499,0%,4.3分
魅族魅蓝Note7（全网通）,概念产品,0%,无评分，去点评 >
魅族PRO 7 Plus（至臻版/全网通）,￥1999,0%,5.7分
